"","city","year","origintime","magnitude","depth"
"168","Canterbury","2007",2007-10-03 19:15:11,5.5,56.7151
"169","Canterbury","2007",2007-08-24 01:31:22,4.008,5.7449
"170","Canterbury","2007",2007-05-11 12:56:36,4.2,28.1656
"171","Canterbury","2007",2007-05-03 00:00:43,4,5
"172","Canterbury","2006",2006-11-18 14:47:33,4,5
"173","Canterbury","2006",2006-08-08 01:47:46,4.1,5
"174","Canterbury","2006",2006-07-03 01:44:55,4.464,46.404
"175","Canterbury","2005",2005-11-20 00:43:49,4.009,33
"176","Canterbury","2005",2005-10-13 18:11:41,4.5,9.6381
"177","Canterbury","2005",2005-04-02 02:08:10,4.303,12
"178","Canterbury","2005",2005-04-02 02:07:50,4.7,10.86
"179","Canterbury","2005",2005-03-19 14:40:38,4,9.6158
"180","Canterbury","2015",2015-12-11 23:17:15,4.313464134,26.01298141
"181","Canterbury","2015",2015-10-09 13:26:51,4.022645338,9.003619194
"182","Canterbury","2015",2015-09-19 12:02:10,4.258936129,16.484375
"183","Canterbury","2015",2015-07-06 05:45:15,4.960596569,12.1975
"184","Canterbury","2015",2015-06-11 04:55:45,4.800511684,33
"185","Canterbury","2015",2015-05-22 17:40:39,4.522693303,36.16589737
"186","Canterbury","2015",2015-05-11 18:54:25,4.028555863,10.7421875
"187","Canterbury","2015",2015-04-24 14:35:25,4.095543454,47.28900528
"188","Canterbury","2015",2015-04-24 03:38:03,4.922972497,47.0703125
"189","Canterbury","2015",2015-04-24 03:36:42,6.233120551,51.5234375
"190","Canterbury","2015",2015-03-26 13:12:37,4.238272825,8.6328125
"191","Canterbury","2015",2015-01-30 21:38:21,4.11823955,5
"192","Canterbury","2014",2014-12-24 06:43:44,4.109074512,5.8203125
"193","Canterbury","2014",2014-12-12 13:37:04,4.459033819,9.39453125
"194","Canterbury","2014",2014-09-12 00:18:11,4.503853721,18.30078125
"195","Canterbury","2014",2014-03-29 21:25:25,4.0650587,6.6992188
"196","Canterbury","2014",2014-03-20 04:41:48,4.1931385,9.9804688
"197","Canterbury","2014",2014-02-01 00:41:25,4.2581028,12.0375
"198","Canterbury","2014",2014-01-10 02:33:54,4.3212597,7.6367188
"199","Canterbury","2013",2013-11-18 10:36:22,4.596799416,9.3359375
"200","Canterbury","2013",2013-10-30 15:21:55,4.152195166,4.663796425
"201","Canterbury","2013",2013-09-30 20:44:58,4.21269775,5
"202","Canterbury","2013",2013-09-20 04:23:29,4.057141197,4.889946938
"203","Canterbury","2013",2013-08-30 20:01:53,4.270060731,9.39453125
"204","Canterbury","2013",2013-08-23 09:43:17,4.23366001,58.203125
"205","Canterbury","2013",2013-07-29 04:37:48,4.715072519,12.1484375
"206","Canterbury","2013",2013-05-17 03:59:07,4.080596366,8.10546875
"207","Canterbury","2013",2013-05-06 19:22:57,4.327814547,25.2734375
"208","Canterbury","2013",2013-01-19 08:15:08,4.594606903,10.00976562
"209","Canterbury","2012",2012-10-23 14:17:47,4.093243805,14.08203125
"210","Canterbury","2012",2012-10-09 22:51:19,4.127008728,15.22460938
"211","Canterbury","2012",2012-09-21 01:35:04,4.246118826,13.49609375
"212","Canterbury","2012",2012-08-18 08:37:16,4.379809769,33
"213","Canterbury","2012",2012-07-10 11:32:16,4.525372354,9.04296875
"214","Canterbury","2012",2012-07-06 03:29:29,4.907542424,9.62890625
"215","Canterbury","2012",2012-06-29 00:10:55,4.086412643,10.44921875
"216","Canterbury","2012",2012-06-11 14:34:34,4.073125484,9.98046875
"217","Canterbury","2012",2012-06-01 20:52:49,4.204618014,15.48828125
"218","Canterbury","2012",2012-05-30 22:27:58,4.502124901,24.1015625
"219","Canterbury","2012",2012-05-27 17:00:28,4.504022587,15.72265625
"220","Canterbury","2012",2012-05-25 02:44:49,5.475451422,14.7265625
"221","Canterbury","2012",2012-05-20 05:06:56,4.669733262,10.21484375
"222","Canterbury","2012",2012-05-15 01:27:16,4.516708298,11.03515625
"223","Canterbury","2012",2012-05-09 19:36:04,4.139105498,36.9921875
"224","Canterbury","2012",2012-04-24 12:53:35,4.13982763,9.5703125
"225","Canterbury","2012",2012-04-22 10:08:53,4.161907171,13.0859375
"226","Canterbury","2012",2012-04-12 00:00:50,4.528781961,10.80078125
"227","Canterbury","2012",2012-04-06 11:33:36,4.009298466,9.16015625
"228","Canterbury","2012",2012-03-17 11:55:24,4.125046845,11.50390625
"229","Canterbury","2012",2012-02-25 10:27:19,4.295113398,15.37109375
"230","Canterbury","2012",2012-02-08 11:51:35,4.13043092,6.81640625
"231","Canterbury","2012",2012-02-08 10:06:27,4.081906216,7.16796875
"232","Canterbury","2012",2012-01-28 02:40:32,4.090678153,15.72265625
"233","Canterbury","2012",2012-01-27 07:42:00,4.534253162,7.109375
"234","Canterbury","2012",2012-01-22 17:46:17,4.465895539,14.140625
"235","Canterbury","2012",2012-01-14 13:47:51,4.730250398,10.09765625
"236","Canterbury","2012",2012-01-12 07:56:56,4.767566935,13.02734375
"237","Canterbury","2012",2012-01-07 01:01:59,4.502171615,10.91796875
"238","Canterbury","2012",2012-01-06 12:21:36,5.221109098,11.97265625
"239","Canterbury","2012",2012-01-06 07:04:15,4.459532634,18.2421875
"240","Canterbury","2012",2012-01-06 01:20:56,4.964050014,5.0025
"241","Canterbury","2012",2012-01-04 19:28:54,4.639923793,5
"242","Canterbury","2012",2012-01-04 11:31:15,4.080565615,5
"243","Canterbury","2012",2012-01-03 17:46:17,4.013132738,8.42732811
"244","Canterbury","2012",2012-01-03 16:27:05,4.000892627,5
"245","Canterbury","2012",2012-01-02 05:59:15,4.886299217,5
"246","Canterbury","2012",2012-01-01 20:01:12,4.102019846,5
"247","Canterbury","2012",2012-01-01 17:06:45,4.078919743,5
"248","Canterbury","2012",2012-01-01 16:50:17,4.274054215,4.705088615
"249","Canterbury","2012",2012-01-01 16:48:11,4.174411099,7.21749115
"250","Canterbury","2012",2012-01-01 16:46:36,4.195059624,5.777195454
"251","Canterbury","2012",2012-01-01 16:45:17,5.458549751,11.87032986
"252","Canterbury","2012",2012-01-01 16:45:05,5.314901446,9.765994072
"253","Canterbury","2012",2012-01-01 12:31:27,4.376410474,5
"254","Canterbury","2012",2012-01-01 12:27:57,5.089474533,9.005116463
"255","Canterbury","2011",2011-12-31 00:44:47,4.5,9.2915
"256","Canterbury","2011",2011-12-29 15:45:17,4.1,8.716
"257","Canterbury","2011",2011-12-29 09:48:51,4,11.5474
"258","Canterbury","2011",2011-12-23 17:57:26,4.028,8.9034
"259","Canterbury","2011",2011-12-23 17:37:31,4.9,5
"260","Canterbury","2011",2011-12-23 12:30:19,4.1,6.2572
"261","Canterbury","2011",2011-12-23 04:46:04,4.078,5
"262","Canterbury","2011",2011-12-23 04:00:39,4.013,14.5359
"263","Canterbury","2011",2011-12-23 03:50:14,4.7,8.7381
"264","Canterbury","2011",2011-12-23 03:24:05,4.3,6.7018
"265","Canterbury","2011",2011-12-23 03:22:07,4.144,14.6574
"266","Canterbury","2011",2011-12-23 03:14:35,4.2,10.3427
"267","Canterbury","2011",2011-12-23 02:47:58,4.649,8.8112
"268","Canterbury","2011",2011-12-23 02:40:00,4.356,7.7748
"269","Canterbury","2011",2011-12-23 02:23:38,4.153,10.9023
"270","Canterbury","2011",2011-12-23 02:22:18,4.057,8.8851
"271","Canterbury","2011",2011-12-23 02:20:03,4.112,10.6238
"272","Canterbury","2011",2011-12-23 02:19:55,4.111,6.5018
